key_resp.corr,key_resp.rt,,,,seqRT,randRT,,,,,,,,,,
1,0.44155,,,,,,,,,,,,,,,
1,0.6118898,,,,,,,,,,,,,,,
1,0.5306216,,,,,,,,,,,,,,,
1,0.4222613,,,,,,,,,,,,,,,
1,0.3737125,,,,,,,,,,,,,,,
1,0.4158419,,,,,,,,,,,,,,,
1,0.4193399,,,,,,,,,,,,,,,
1,0.3680955,,,,,,,,,,,,,,,
1,0.3997313,,,,,,,,,,,,,,,
1,0.4888381,,,,,,,,,,,,,,,
1,0.4445893,,,,,,,,,,,,,,,
1,0.5191589,,,,,,,,,,,,,,,
1,0.5609313,,,,,,,,,,,,,,,
1,0.589715,,,,,,,,,,,,,,,
1,0.419988,,,,,,,,,,,,,,,
1,0.4568101,,,,,,,,,,,,,,,
1,0.6050974,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.4650991,,,,,,,,,,,,,,,
1,0.47754,,,,,,,,,,,,,,,
1,0.6823338,,,,,,,,,,,,,,,
1,0.5497227,,,,,,,,,,,,,,,
1,0.4205029,,,,,,,,,,,,,,,
1,0.3926451,,,,,,,,,,,,,,,
1,0.3433901,,,,,,,,,,,,,,,
1,0.5580635,,,,,,,,,,,,,,,
1,0.3519941,,,,,,,,,,,,,,,
1,0.396071,,,,,,,,,,,,,,,
1,0.5117051,,,,,,,,,,,,,,,
1,0.5041949,,,,,,,,,,,,,,,
1,0.3429118,,,,,,,,,,,,,,,
1,0.4292149,,,,,,,,,,,,,,,
1,0.5099561,,,,,,,,,,,,,,,
1,0.4394644,,,,,,,,,,,,,,,
1,0.5299266,,,,,,,,,,,,,,,
1,0.4610853,,,,,,,,,,,,,,,
1,0.494693,,,,,,,,,,,,,,,
1,0.4446164,,,,,,,,,,,,,,,
1,0.3945125,,,,,,,,,,,,,,,
1,0.4250107,,,,,,,,,,,,,,,
1,0.3574586,,,,,,,,,,,,,,,
0,0.3357345,,,,,,,,,,,,,,,
1,0.6055336,,,,,,,,,,,,,,,
1,0.4091011,,,,,,,,,,,,,,,
1,0.4633192,,,,,,,,,,,,,,,
1,0.3472231,,,,,,,,,,,,,,,
1,0.3876139,,,,,,,,,,,,,,,
1,0.482986,,,,,,,,,,,,,,,
1,0.478986,,,,,,,,,,,,,,,
1,0.570267,,,,,,,,,,,,,,,
1,0.3774206,,,,,,,,,,,,,,,
1,0.4692849,,,,,,,,,,,,,,,
1,0.4960107,,,,,,,,,,,,,,,
1,0.3674125,,,,,,,,,,,,,,,
1,0.408265,,,,,,,,,,,,,,,
1,0.4324292,,,,,,,,,,,,,,,
1,0.3398177,,,,,,,,,,,,,,,
1,0.4638782,,,,,,,,,,,,,,,
1,0.5713466,,,,,,,,,,,,,,,
1,0.6334706,,,,,,,,,,,,,,,
1,0.4795688,,,,,,,,,,,,,,,
1,0.6709388,,,,,,,,,,,,,,,
1,0.3382122,,,,,,,,,,,,,,,
1,0.4300744,,,,,,,,,,,,,,,
1,0.8648695,,,,,,,,,,,,,,,
1,0.4522147,,,,,,,,,,,,,,,
1,0.4612733,,,,,,,,,,,,,,,
1,0.5043349,,,,,,,,,,,,,,,
